@relation Census_Income_database-weka.filters.unsupervised.attribute.Remove-R3

@attribute sex {Female,Male}
@attribute workclass {Private,Self-emp-not-inc,Self-emp-inc,Federal-gov,Local-gov,State-gov,Without-pay,Never-worked}
@attribute education {Bachelors,Some-college,11th,HS-grad,Prof-school,Assoc-acdm,Assoc-voc,9th,7th-8th,12th,Masters,1st-4th,10th,Doctorate,5th-6th,Preschool}
@attribute education-num numeric
@attribute marital-status {Married-civ-spouse,Divorced,Never-married,Separated,Widowed,Married-spouse-absent,Married-AF-spouse}
@attribute occupation {Tech-support,Craft-repair,Other-service,Sales,Exec-managerial,Prof-specialty,Handlers-cleaners,Machine-op-inspct,Adm-clerical,Farming-fishing,Transport-moving,Priv-house-serv,Protective-serv,Armed-Forces}
@attribute relationship {Wife,Own-child,Husband,Not-in-family,Other-relative,Unmarried}
@attribute race {White,Asian-Pac-Islander,Amer-Indian-Eskimo,Other,Black}
@attribute age numeric
@attribute capital-gain numeric
@attribute capital-loss numeric
@attribute hours-per-week numeric
@attribute native-country {United-States,Cambodia,England,Puerto-Rico,Canada,Germany,Outlying-US(Guam-USVI-etc),India,Japan,Greece,South,China,Cuba,Iran,Honduras,Philippines,Italy,Poland,Jamaica,Vietnam,Mexico,Portugal,Ireland,France,Dominican-Republic,Laos,Ecuador,Taiwan,Haiti,Columbia,Hungary,Guatemala,Nicaragua,Scotland,Thailand,Yugoslavia,El-Salvador,Trinadad&Tobago,Peru,Hong,Holand-Netherlands}
@attribute income_class {<=50K,>50K}

@data

Male,Private,11th,7,Never-married,Machine-op-inspct,Own-child,Black,25,0,0,40,United-States,<=50K
Male,Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,38,0,0,50,United-States,<=50K
Male,Local-gov,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,White,28,0,0,40,United-States,>50K
Male,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,Black,44,7688,0,40,United-States,>50K
Female,?,Some-college,10,Never-married,?,Own-child,White,18,0,0,30,United-States,<=50K
Male,Private,10th,6,Never-married,Other-service,Not-in-family,White,34,0,0,30,United-States,<=50K
Male,?,HS-grad,9,Never-married,?,Unmarried,Black,29,0,0,40,United-States,<=50K
Male,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,63,3103,0,32,United-States,>50K
Female,Private,Some-college,10,Never-married,Other-service,Unmarried,White,24,0,0,40,United-States,<=50K
Male,Private,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,55,0,0,10,United-States,<=50K
Male,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,65,6418,0,40,United-States,>50K
Male,Federal-gov,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,36,0,0,40,United-States,<=50K
Female,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,26,0,0,39,United-States,<=50K
Male,?,HS-grad,9,Married-civ-spouse,?,Husband,White,58,0,0,35,United-States,<=50K
